,food_items,season,min_prize,max_prize,date,model prize
91,Mustard Oil,Monsoon,180.41,192.21,2023-01-15,186.31
92,Gram,Monsoon,73.36,86.65,2022-12-04,80.005
93,Masur,Summer,76.07,96.09,2023-02-28,86.08
94,Palm oil,Summer,163.81,175.1,2023-09-01,169.45499999999998
95,Soya oil,Summer,189.82,206.65,2024-03-24,198.235
96,Sunflower oil,Monsoon,121.17,186.17,2024-07-19,153.67
97,Masur,Winter,82.19,95.83,2023-03-02,89.00999999999999
98,Groundnut oil,Monsoon,145.92,164.76,2023-12-22,155.33999999999997
99,Gur,Monsoon,36.45,55.37,2024-08-20,45.91
100,Rice,Monsoon,49.35,77.66,2024-05-27,63.504999999999995
101,Sugar,Winter,32.56,38.39,2023-12-02,35.475
102,Milk,Spring,40.49,43.15,2023-08-07,41.82
103,Wheat,Summer,46.98,59.69,2024-02-18,53.334999999999994
104,Potato,Winter,30.73,56.98,2024-06-01,43.855
105,Soya oil,Winter,249.03,253.58,2023-01-10,251.305
106,Urad,Winter,69.89,77.82,2023-05-20,73.85499999999999
107,Mustard Oil,Spring,141.45,208.6,2023-01-14,175.02499999999998
108,Gram,Spring,58.0,72.19,2023-01-11,65.095
109,Onion,Spring,41.77,65.23,2022-11-14,53.5
110,Sugar,Spring,37.58,61.51,2023-09-24,49.545
111,Rice,Summer,48.21,81.56,2023-07-01,64.885
112,Tur,Spring,75.57,117.9,2023-07-07,96.735
113,Tea,Monsoon,168.75,179.79,2023-04-06,174.26999999999998
114,Tur,Spring,98.42,114.19,2022-09-30,106.305
115,Vanaspati oil,Spring,157.78,173.19,2023-10-15,165.485
116,Sunflower oil,Summer,141.09,142.35,2023-09-19,141.72
117,Onion,Spring,34.15,49.37,2023-05-14,41.76
118,Soya oil,Monsoon,187.42,225.7,2024-03-13,206.56
119,Palm oil,Summer,136.66,173.83,2023-01-11,155.245
120,Wheat,Winter,51.6,54.35,2024-05-27,52.975
121,Sunflower oil,Summer,141.04,147.51,2023-06-29,144.27499999999998
122,Masur,Summer,81.51,92.79,2023-12-26,87.15
123,Gram,Spring,64.14,69.8,2022-08-31,66.97
124,Soya oil,Summer,164.48,215.98,2023-09-26,190.23
125,Tomato,Summer,22.11,53.04,2023-05-06,37.575
126,Potato,Summer,35.31,53.79,2023-12-01,44.55
127,Tomato,Summer,33.07,34.9,2024-02-22,33.985
128,Gur,Winter,48.8,67.04,2023-08-25,57.92
129,Milk,Monsoon,59.24,65.3,2023-03-27,62.269999999999996
130,Tur,Summer,77.22,81.51,2023-10-16,79.36500000000001
131,Groundnut oil,Spring,131.15,213.74,2023-10-04,172.445
132,Mustard Oil,Summer,186.89,220.74,2023-07-18,203.815
133,Potato,Monsoon,25.63,45.78,2023-06-12,35.705
134,Palm oil,Summer,123.84,160.83,2022-10-22,142.335
135,Salt,Winter,24.66,42.49,2022-09-27,33.575
136,Mustard Oil,Monsoon,163.67,227.45,2024-03-20,195.56
137,Atta,Winter,29.63,63.21,2023-11-02,46.42
138,Salt,Summer,24.12,40.81,2024-06-12,32.465
139,Onion,Summer,42.61,66.56,2024-04-08,54.585
140,Tomato,Monsoon,20.86,49.84,2024-03-15,35.35
141,Sunflower oil,Monsoon,147.07,147.64,2024-07-27,147.355
142,Moong,Summer,80.42,86.28,2024-04-22,83.35
143,Gur,Spring,59.55,69.33,2023-06-18,64.44
144,Mustard Oil,Spring,174.82,210.11,2023-05-31,192.465
145,Mustard Oil,Spring,165.8,174.59,2023-08-31,170.195
146,Moong,Winter,94.66,99.47,2023-11-16,97.065
147,Tomato,Spring,25.23,31.91,2024-04-01,28.57
148,Sugar,Monsoon,26.96,59.76,2023-11-27,43.36
149,Potato,Winter,39.46,59.2,2022-10-26,49.33
150,Masur,Monsoon,87.2,104.85,2023-09-29,96.025
151,Soya oil,Monsoon,183.31,190.34,2023-06-28,186.825
152,Moong,Summer,82.22,90.99,2024-02-10,86.60499999999999
153,Soya oil,Summer,163.25,168.95,2022-09-15,166.1
154,Onion,Monsoon,44.51,44.8,2023-01-15,44.655
155,Tur,Winter,93.12,97.07,2023-03-15,95.095
156,Sugar,Monsoon,26.59,30.03,2023-02-26,28.310000000000002
157,Moong,Spring,90.16,97.48,2023-06-16,93.82
158,Sunflower oil,Winter,135.23,165.76,2023-05-27,150.495
159,Milk,Summer,57.21,73.78,2024-01-18,65.495
160,Groundnut oil,Winter,148.92,158.27,2023-07-07,153.595
161,Onion,Monsoon,31.11,42.84,2023-09-06,36.975
162,Tur,Summer,77.86,97.08,2022-10-16,87.47
163,Milk,Spring,53.67,71.99,2023-09-13,62.83
164,Soya oil,Monsoon,178.35,213.17,2023-06-19,195.76
165,Wheat,Summer,34.53,66.44,2023-04-21,50.485
166,Atta,Spring,26.14,53.23,2024-07-10,39.685
167,Groundnut oil,Monsoon,184.51,212.1,2023-01-22,198.305
168,Soya oil,Summer,175.94,211.1,2024-05-30,193.51999999999998
169,Groundnut oil,Summer,171.13,184.46,2024-06-06,177.79500000000002
170,Groundnut oil,Spring,155.96,168.58,2024-04-07,162.27
171,Onion,Monsoon,39.2,40.57,2024-07-04,39.885000000000005
172,Soya oil,Winter,229.98,233.06,2023-09-25,231.51999999999998
173,Tur,Spring,85.57,96.13,2023-09-13,90.85
174,Mustard Oil,Summer,180.43,227.99,2023-01-21,204.21
175,Tea,Summer,164.56,166.52,2023-04-29,165.54000000000002
176,Tomato,Winter,23.61,39.62,2022-09-13,31.615
177,Onion,Spring,40.72,60.67,2024-07-02,50.695
178,Potato,Summer,25.55,29.99,2023-06-09,27.77
179,Gram,Monsoon,59.82,93.47,2023-11-25,76.645
180,Palm oil,Spring,131.23,193.4,2022-11-15,162.315
181,Sugar,Winter,35.88,49.19,2022-12-01,42.535
182,Wheat,Summer,52.05,62.57,2024-05-23,57.31
183,Moong,Winter,91.73,103.01,2023-10-10,97.37
184,Salt,Winter,23.56,38.35,2024-06-05,30.955
185,Wheat,Winter,47.49,56.51,2022-10-11,52.0
186,Moong,Summer,92.7,110.06,2024-05-04,101.38
187,Tea,Summer,124.0,139.41,2024-03-26,131.70499999999998
188,Vanaspati oil,Spring,195.75,228.6,2023-06-08,212.175
189,Rice,Winter,53.74,75.17,2023-04-29,64.455
190,Atta,Spring,42.15,52.6,2023-10-20,47.375
191,Gram,Monsoon,73.8,86.01,2023-09-08,79.905
192,Tomato,Summer,31.42,52.85,2023-06-20,42.135000000000005
193,Tomato,Winter,31.31,35.09,2023-02-25,33.2
194,Atta,Winter,37.58,48.51,2023-10-20,43.045
195,Palm oil,Spring,123.76,156.09,2024-06-19,139.925
196,Moong,Winter,77.76,113.62,2024-02-06,95.69
197,Atta,Spring,25.67,63.39,2023-01-29,44.53
198,Masur,Spring,70.66,84.69,2024-05-11,77.675
199,Mustard Oil,Spring,141.14,157.6,2023-05-02,149.37
200,Vanaspati oil,Spring,168.09,225.62,2024-08-03,196.85500000000002
201,Rice,Monsoon,42.99,87.43,2023-03-20,65.21000000000001
202,Groundnut oil,Spring,190.86,204.09,2023-10-24,197.47500000000002
203,Mustard Oil,Winter,162.87,178.49,2023-12-19,170.68
204,Sunflower oil,Winter,146.87,148.3,2022-09-21,147.585
205,Potato,Monsoon,20.31,37.33,2024-04-29,28.82
206,Soya oil,Monsoon,156.81,185.33,2023-09-27,171.07
207,Onion,Winter,34.42,43.43,2023-11-01,38.925
208,Salt,Winter,11.97,12.37,2023-09-20,12.17
209,Gram,Monsoon,52.89,78.93,2024-04-09,65.91
210,Groundnut oil,Summer,198.2,219.79,2023-12-10,208.995
211,Tea,Summer,140.91,153.8,2024-05-31,147.35500000000002
212,Tea,Winter,163.88,191.4,2024-04-29,177.64
213,Masur,Summer,89.68,91.01,2024-06-06,90.345
214,Milk,Summer,55.66,62.68,2022-09-03,59.17
215,Palm oil,Monsoon,134.49,177.89,2024-06-15,156.19
216,Tur,Winter,77.38,105.76,2024-06-04,91.57
217,Mustard Oil,Spring,176.21,199.02,2023-05-08,187.615
218,Moong,Spring,86.64,96.22,2024-07-09,91.43
219,Vanaspati oil,Summer,189.46,206.28,2022-09-26,197.87
220,Sugar,Summer,32.21,59.38,2022-11-12,45.795
221,Rice,Summer,67.75,68.77,2024-08-05,68.25999999999999
222,Wheat,Winter,35.82,49.47,2024-06-11,42.644999999999996
223,Milk,Spring,56.3,79.66,2023-08-18,67.97999999999999
224,Groundnut oil,Spring,197.83,217.89,2022-12-10,207.86
225,Gur,Winter,42.41,79.7,2023-06-13,61.055
226,Potato,Summer,24.99,28.7,2022-11-03,26.845
227,Tur,Monsoon,98.53,103.54,2023-12-20,101.035
228,Vanaspati oil,Monsoon,188.28,190.71,2023-01-28,189.495
229,Soya oil,Summer,223.07,264.45,2023-08-19,243.76
230,Groundnut oil,Monsoon,149.07,175.96,2023-12-16,162.515
231,Milk,Spring,47.49,71.83,2024-03-17,59.66
232,Gram,Spring,55.95,62.66,2024-07-09,59.305
233,Onion,Winter,38.99,48.43,2023-08-28,43.71
234,Mustard Oil,Winter,198.74,206.17,2023-07-18,202.45499999999998
235,Urad,Monsoon,65.07,97.99,2024-02-19,81.53
236,Soya oil,Summer,213.4,262.49,2023-07-31,237.945
237,Onion,Spring,48.8,64.72,2024-02-29,56.76
238,Wheat,Winter,47.49,74.12,2023-02-15,60.80500000000001
239,Groundnut oil,Summer,199.61,208.82,2022-12-08,204.215
240,Rice,Winter,42.13,56.15,2024-02-23,49.14
241,Moong,Spring,74.57,93.54,2023-08-07,84.055
242,Onion,Spring,32.63,55.21,2022-08-25,43.92
243,Gram,Spring,59.57,91.29,2024-01-24,75.43
244,Onion,Summer,49.36,60.65,2023-01-22,55.004999999999995
245,Groundnut oil,Winter,149.24,191.15,2023-01-25,170.195
246,Potato,Summer,37.94,46.91,2023-01-08,42.425
247,Gur,Winter,48.8,57.28,2022-08-29,53.04
248,Mustard Oil,Monsoon,171.88,195.23,2023-09-13,183.555
249,Atta,Monsoon,29.97,47.69,2022-12-12,38.83
250,Tomato,Spring,21.21,33.81,2023-09-05,27.51
251,Groundnut oil,Summer,166.75,206.72,2022-10-06,186.735
252,Onion,Spring,36.67,67.47,2023-08-21,52.07
253,Gur,Monsoon,56.56,57.7,2022-09-29,57.13
254,Mustard Oil,Summer,157.75,189.98,2024-03-02,173.865
255,Rice,Monsoon,43.14,59.47,2022-10-16,51.305
256,Masur,Spring,82.2,101.12,2023-06-25,91.66
257,Milk,Summer,52.45,72.03,2024-05-30,62.24
258,Vanaspati oil,Winter,154.34,180.19,2022-09-08,167.265
259,Onion,Spring,43.52,66.8,2024-04-13,55.16
260,Palm oil,Monsoon,152.62,166.01,2024-07-24,159.315
261,Tomato,Spring,15.6,43.59,2023-10-20,29.595000000000002
262,Moong,Summer,70.24,88.78,2023-02-06,79.50999999999999
263,Onion,Summer,40.61,67.71,2024-01-17,54.16
264,Groundnut oil,Monsoon,136.26,170.25,2023-12-05,153.255
265,Potato,Winter,20.49,34.03,2022-10-29,27.259999999999998
266,Urad,Summer,68.67,77.41,2022-09-04,73.03999999999999
267,Mustard Oil,Spring,154.68,163.39,2023-06-26,159.035
268,Vanaspati oil,Monsoon,180.4,214.89,2024-01-29,197.64499999999998
269,Atta,Winter,38.44,63.64,2024-02-26,51.04
270,Wheat,Spring,30.07,59.15,2024-02-29,44.61
271,Tea,Summer,160.04,195.34,2023-01-04,177.69
272,Wheat,Summer,54.07,54.42,2023-06-17,54.245000000000005
273,Atta,Spring,38.93,60.14,2024-02-03,49.535
274,Masur,Summer,75.29,86.88,2023-06-23,81.08500000000001
275,Palm oil,Spring,167.45,170.62,2023-03-03,169.035
276,Rice,Spring,53.26,72.36,2023-03-12,62.81
277,Potato,Spring,33.88,36.25,2024-01-16,35.065
278,Soya oil,Monsoon,172.78,212.67,2023-08-28,192.725
279,Tea,Monsoon,162.33,213.48,2024-06-02,187.905
280,Tea,Summer,161.88,169.64,2023-11-12,165.76
281,Moong,Summer,99.42,117.36,2023-12-04,108.39
282,Moong,Monsoon,85.08,117.29,2024-07-26,101.185
283,Tur,Summer,86.24,117.41,2022-11-18,101.82499999999999
284,Urad,Monsoon,74.9,99.2,2023-12-14,87.05000000000001
285,Tea,Winter,191.98,192.99,2024-08-20,192.485
286,Tomato,Summer,18.5,32.7,2023-11-16,25.6
287,Tomato,Summer,34.04,40.33,2024-03-06,37.185
288,Potato,Monsoon,23.21,55.82,2024-07-24,39.515
289,Moong,Summer,83.39,116.63,2022-12-17,100.00999999999999
290,Gur,Winter,39.01,66.11,2024-05-21,52.56
291,Masur,Winter,73.21,76.02,2023-03-06,74.615
292,Palm oil,Summer,161.79,171.24,2024-06-25,166.515
293,Groundnut oil,Monsoon,132.77,138.0,2023-01-16,135.385
294,Salt,Winter,10.92,41.86,2022-09-06,26.39
295,Potato,Winter,34.8,57.43,2023-06-08,46.114999999999995
296,Moong,Monsoon,90.18,105.95,2024-06-08,98.065
297,Groundnut oil,Monsoon,151.31,219.86,2024-04-02,185.585
298,Milk,Monsoon,47.24,62.66,2023-10-22,54.95
299,Tur,Summer,81.35,119.21,2023-05-26,100.28
300,Atta,Monsoon,28.49,40.46,2024-02-24,34.475
301,Tur,Spring,90.41,92.28,2022-12-30,91.345
302,Masur,Winter,78.22,93.4,2023-05-02,85.81
303,Urad,Monsoon,58.52,68.41,2023-10-15,63.465
304,Vanaspati oil,Winter,176.02,195.88,2024-06-18,185.95
305,Urad,Winter,63.7,75.95,2022-10-26,69.825
306,Milk,Monsoon,59.41,62.16,2022-11-30,60.785
307,Wheat,Summer,32.42,47.04,2023-08-14,39.730000000000004
308,Masur,Summer,77.73,99.0,2024-06-22,88.36500000000001
309,Gram,Summer,59.93,94.97,2023-03-09,77.45
310,Tea,Winter,135.19,196.37,2024-03-24,165.78
311,Wheat,Monsoon,45.94,69.57,2023-12-11,57.754999999999995
312,Sunflower oil,Spring,168.57,187.64,2022-10-02,178.105
313,Masur,Spring,82.94,101.83,2022-11-22,92.38499999999999
314,Milk,Monsoon,46.71,51.63,2023-03-29,49.17
315,Tea,Winter,106.26,133.77,2023-05-24,120.01500000000001
316,Palm oil,Monsoon,145.94,174.16,2022-12-09,160.05
317,Mustard Oil,Summer,194.12,228.52,2023-02-18,211.32
318,Gram,Spring,52.93,57.43,2024-06-01,55.18
319,Potato,Spring,31.79,52.82,2024-01-24,42.305
320,Soya oil,Spring,234.82,267.74,2024-07-19,251.28
321,Tomato,Monsoon,34.67,42.8,2023-09-07,38.735
322,Milk,Spring,47.61,52.4,2023-06-01,50.004999999999995
323,Tea,Winter,168.49,202.32,2022-08-28,185.405
324,Atta,Monsoon,42.24,44.45,2024-06-18,43.345
325,Atta,Winter,34.96,52.42,2023-05-17,43.69
326,Palm oil,Spring,134.49,145.56,2024-02-07,140.025
327,Tur,Spring,95.79,97.21,2023-04-08,96.5
328,Wheat,Winter,41.77,45.62,2024-04-16,43.695
329,Urad,Spring,63.71,99.27,2023-11-12,81.49
330,Soya oil,Winter,192.37,258.91,2023-07-27,225.64000000000001
331,Moong,Spring,73.52,86.13,2023-05-07,79.82499999999999
332,Mustard Oil,Summer,168.27,192.95,2023-12-24,180.61
333,Groundnut oil,Winter,177.0,191.82,2022-08-28,184.41
334,Milk,Summer,54.28,70.72,2022-12-10,62.5
335,Palm oil,Spring,143.95,168.15,2023-12-01,156.05
336,Potato,Winter,32.29,34.23,2022-12-21,33.26
337,Milk,Summer,56.45,71.84,2022-09-11,64.14500000000001
338,Mustard Oil,Monsoon,190.84,211.87,2023-11-08,201.35500000000002
339,Sunflower oil,Winter,116.63,146.35,2024-02-21,131.49
340,Wheat,Spring,40.13,51.32,2023-03-20,45.725
341,Tea,Spring,103.0,189.26,2022-11-09,146.13
342,Urad,Spring,53.29,81.61,2022-10-03,67.45
343,Salt,Summer,20.55,36.07,2023-05-24,28.310000000000002
344,Atta,Monsoon,44.18,46.33,2023-07-02,45.254999999999995
345,Rice,Summer,66.02,66.72,2024-03-07,66.37
346,Potato,Monsoon,30.7,42.54,2022-10-30,36.62
347,Gram,Spring,63.1,74.75,2024-08-13,68.925
348,Palm oil,Summer,131.43,132.74,2023-11-01,132.085
349,Salt,Monsoon,17.77,40.72,2024-03-26,29.244999999999997
350,Milk,Winter,47.46,54.71,2022-11-02,51.085
351,Gur,Summer,37.01,40.68,2024-02-29,38.845
352,Onion,Summer,34.43,37.99,2023-11-13,36.21
353,Salt,Monsoon,13.98,16.03,2022-10-16,15.005
354,Sunflower oil,Monsoon,113.94,179.07,2022-11-23,146.505
355,Atta,Winter,28.24,48.81,2024-03-25,38.525
356,Tur,Summer,93.2,105.43,2023-07-15,99.315
357,Wheat,Monsoon,33.83,42.05,2023-01-11,37.94
358,Milk,Winter,48.66,65.21,2022-11-30,56.934999999999995
359,Sugar,Winter,31.99,57.79,2024-02-10,44.89
360,Sunflower oil,Summer,155.06,187.46,2024-04-16,171.26
361,Wheat,Spring,30.72,70.38,2024-05-13,50.55
362,Salt,Monsoon,15.89,41.46,2024-02-22,28.675
363,Palm oil,Monsoon,161.45,199.51,2023-05-09,180.48
364,Sugar,Winter,40.19,49.23,2024-03-14,44.709999999999994
365,Tur,Summer,85.03,98.19,2023-11-05,91.61
366,Atta,Spring,32.3,40.83,2023-07-03,36.565
367,Gram,Spring,62.4,84.62,2022-09-23,73.51
368,Masur,Monsoon,68.32,90.18,2024-03-17,79.25
369,Moong,Spring,73.52,80.95,2024-07-27,77.235
370,Wheat,Winter,31.17,73.72,2024-03-05,52.445
371,Groundnut oil,Spring,130.27,146.29,2024-05-02,138.28
372,Vanaspati oil,Monsoon,182.9,186.73,2022-11-25,184.815
373,Groundnut oil,Summer,191.73,212.07,2023-07-01,201.89999999999998
374,Palm oil,Monsoon,177.98,189.16,2023-12-12,183.57
375,Masur,Spring,69.01,91.53,2023-02-14,80.27000000000001
376,Onion,Winter,48.62,59.75,2023-07-20,54.185
377,Potato,Monsoon,25.34,55.75,2023-08-08,40.545
378,Groundnut oil,Spring,156.03,156.12,2023-08-31,156.075
379,Potato,Summer,24.95,36.1,2023-03-15,30.525
380,Rice,Summer,65.76,76.87,2022-10-16,71.315
381,Rice,Spring,53.34,65.66,2022-09-28,59.5
382,Potato,Monsoon,37.61,58.77,2023-02-03,48.19
383,Onion,Summer,49.84,57.44,2023-12-30,53.64
384,Gur,Summer,59.15,75.66,2024-07-14,67.405
385,Salt,Monsoon,20.14,26.23,2024-01-06,23.185000000000002
386,Urad,Winter,56.49,63.71,2024-06-13,60.1
387,Sugar,Monsoon,43.46,49.79,2022-08-25,46.625
388,Tomato,Summer,24.06,39.34,2024-07-01,31.700000000000003
389,Wheat,Spring,49.45,71.02,2023-02-06,60.235
390,Soya oil,Spring,163.91,209.2,2023-07-24,186.555
391,Tur,Monsoon,95.29,115.5,2023-03-17,105.39500000000001
392,Wheat,Spring,32.56,39.2,2023-12-02,35.88
393,Masur,Spring,69.13,72.21,2022-12-08,70.66999999999999
394,Masur,Monsoon,72.74,76.75,2022-10-11,74.745
395,Masur,Winter,77.05,85.17,2024-02-10,81.11
396,Tur,Spring,87.89,91.66,2022-08-23,89.775
397,Moong,Spring,99.28,118.6,2022-12-18,108.94
398,Wheat,Spring,39.79,48.32,2024-01-07,44.055
399,Gram,Winter,56.26,74.99,2022-10-29,65.625
400,Tomato,Spring,15.8,40.88,2023-11-29,28.340000000000003
401,Tomato,Summer,23.17,35.18,2024-02-06,29.175
402,Gram,Summer,70.23,87.79,2024-06-29,79.01
403,Urad,Summer,78.63,86.15,2022-12-14,82.39
404,Tur,Monsoon,96.93,114.69,2024-05-22,105.81
405,Onion,Winter,37.15,57.57,2023-01-08,47.36
406,Urad,Monsoon,58.66,94.81,2024-08-02,76.735
407,Gur,Summer,37.81,46.77,2023-10-15,42.290000000000006
408,Vanaspati oil,Monsoon,152.81,183.92,2023-09-26,168.365
409,Moong,Spring,92.36,106.92,2023-05-19,99.64
410,Palm oil,Summer,149.26,149.29,2023-01-24,149.27499999999998
411,Mustard Oil,Spring,169.78,173.61,2024-04-06,171.695
412,Sugar,Spring,29.17,62.58,2023-10-13,45.875
413,Groundnut oil,Monsoon,145.08,209.39,2024-07-08,177.235
414,Groundnut oil,Winter,186.2,191.58,2024-05-24,188.89
415,Soya oil,Monsoon,210.57,217.44,2023-12-08,214.005
416,Onion,Summer,44.56,60.78,2023-10-13,52.67
417,Onion,Winter,46.24,57.63,2024-01-21,51.935
418,Moong,Summer,97.45,98.56,2024-05-06,98.005
419,Milk,Summer,45.86,70.27,2023-10-26,58.065
420,Masur,Summer,72.54,79.02,2023-03-07,75.78
421,Wheat,Winter,32.68,67.27,2024-05-18,49.974999999999994
422,Gur,Spring,46.83,76.1,2023-08-31,61.464999999999996
423,Sunflower oil,Winter,154.0,168.75,2022-12-26,161.375
424,Palm oil,Winter,142.41,172.11,2024-05-14,157.26
425,Soya oil,Summer,238.91,261.83,2023-02-18,250.37
426,Gur,Summer,35.13,66.28,2023-10-07,50.705
427,Soya oil,Monsoon,241.95,261.88,2023-07-21,251.915
428,Sunflower oil,Spring,120.62,154.17,2024-08-15,137.39499999999998
429,Soya oil,Monsoon,164.03,202.07,2022-09-12,183.05
430,Potato,Summer,38.74,58.37,2024-01-27,48.555
431,Tomato,Monsoon,20.66,32.32,2024-07-08,26.490000000000002
432,Tea,Winter,160.02,217.79,2023-09-02,188.905
433,Vanaspati oil,Monsoon,150.35,170.81,2022-12-12,160.57999999999998
434,Tomato,Winter,32.47,43.55,2023-07-01,38.01
435,Salt,Monsoon,23.48,27.47,2023-07-14,25.475
436,Milk,Spring,50.65,60.23,2024-03-07,55.44
437,Salt,Spring,14.75,28.27,2023-10-02,21.509999999999998
438,Moong,Winter,82.99,96.22,2023-10-22,89.60499999999999
439,Onion,Monsoon,48.3,64.18,2023-10-03,56.24
440,Sunflower oil,Summer,153.65,164.19,2023-03-09,158.92000000000002
441,Potato,Spring,31.55,53.72,2023-06-01,42.635
442,Groundnut oil,Spring,185.69,197.51,2022-09-28,191.6
